part,index,Weighted_SFT_Token_Length,DPO_Token_Length,Difference,DPO_Type
01,1,1154,1033,-121,Estimated
01,2,946,680,-266,Estimated
01,4,1821,1772,-49,Estimated
01,10,727,940,213,Observed
01,12,874,1207,333,Observed
01,19,843,873,30,Estimated
01,25,794,1327,533,Observed
01,27,1305,1091,-214,Estimated
01,31,1315,1848,533,Estimated
01,32,876,1242,366,Observed
01,36,988,1056,68,Observed
01,38,1010,1005,-5,Observed
01,39,1335,1051,-284,Observed
01,40,803,786,-17,Estimated
01,42,854,958,104,Observed
02,1,1426,991,-435,Observed
02,2,1000,1162,162,Estimated
02,5,1121,965,-156,Observed
02,8,828,1161,333,Estimated
02,10,1326,1360,34,Observed
02,11,801,917,116,Estimated
02,13,874,946,72,Estimated
02,15,664,886,222,Observed
02,19,754,974,220,Observed
02,21,826,1068,242,Observed
02,24,1224,1557,333,Estimated
02,25,875,517,-358,Estimated
02,28,1035,1272,237,Estimated
02,33,839,869,30,Estimated
02,39,1470,1204,-266,Observed
02,40,915,853,-62,Observed
02,44,1077,1214,137,Observed
02,48,900,951,51,Observed
03,2,749,1253,504,Observed
03,3,865,966,101,Observed
03,4,961,991,30,Observed
03,5,843,826,-17,Observed
03,10,872,1220,348,Estimated
03,11,990,1097,107,Observed
03,13,1482,1268,-214,Observed
03,16,1878,933,-945,Estimated
03,17,1239,1218,-21,Observed
03,18,815,1054,239,Observed
03,19,1870,1853,-17,Estimated
03,21,884,864,-20,Observed
03,24,821,1058,237,Observed
03,26,787,1144,357,Observed
03,27,860,976,116,Observed
03,28,1393,973,-420,Observed
03,36,701,930,229,Observed
03,37,1241,1674,433,Estimated
03,38,759,1107,348,Observed
03,42,1871,933,-938,Observed
03,46,765,855,90,Estimated
04,1,1358,990,-368,Estimated
04,3,1368,1049,-319,Observed
04,5,1228,866,-362,Observed
04,9,1286,1295,9,Observed
04,10,974,1046,72,Observed
04,11,885,1122,237,Estimated
04,15,993,727,-266,Estimated
04,16,1186,861,-325,Estimated
04,17,1436,1111,-325,Estimated
04,20,1455,1538,83,Estimated
04,22,995,1007,12,Observed
04,24,1617,876,-741,Observed
04,27,867,542,-325,Estimated
04,34,764,829,65,Estimated
04,42,1019,941,-78,Observed
04,45,895,551,-344,Estimated
04,49,1316,948,-368,Observed
05,2,1097,896,-201,Observed
05,7,884,526,-358,Estimated
05,8,1871,2404,533,Estimated
05,10,1481,950,-531,Observed
05,12,1738,968,-770,Observed
05,19,910,899,-11,Observed
05,21,809,874,65,Estimated
05,22,752,468,-284,Estimated
05,28,868,951,83,Observed
05,33,1060,1127,67,Observed
05,34,927,1360,433,Observed
05,36,1337,1367,30,Estimated
05,48,1872,985,-887,Observed
05,49,1123,1188,65,Observed
06,2,1858,1870,12,Estimated
06,4,1220,1099,-121,Observed
06,6,796,958,162,Observed
06,11,903,954,51,Estimated
06,15,1905,1887,-18,Observed
06,16,1310,966,-344,Observed
06,18,1026,1392,366,Estimated
06,19,763,832,69,Observed
06,20,971,922,-49,Observed
06,25,1872,927,-945,Observed
06,28,848,938,90,Observed
06,30,857,1094,237,Observed
06,31,959,910,-49,Observed
06,33,1272,947,-325,Observed
06,35,1869,2106,237,Estimated
06,36,984,1101,117,Observed
06,38,1232,874,-358,Observed
06,39,1412,1654,242,Estimated
06,43,1084,927,-157,Observed
06,44,1871,1436,-435,Estimated
06,45,1884,1185,-699,Observed
06,46,1342,1173,-169,Observed
06,48,755,1048,293,Observed
